Year;Canton;"Total - Durchschnittl.
Mietpreis 
pro m2";"Total - Vertrauens-intervall: 
± (in CHF)";"F1 - Durchschnittl.
Mietpreis 
pro m2";"F1 - Vertrauens-intervall: 
± (in CHF)";"F2 - Durchschnittl.
Mietpreis 
pro m2";"F2 - Vertrauens-intervall: 
± (in CHF)";"F3 - Durchschnittl.
Mietpreis 
pro m2";"F3 - Vertrauens-intervall: 
± (in CHF)";"F4 - Durchschnittl.
Mietpreis 
pro m2";"F4 - Vertrauens-intervall: 
± (in CHF)";"F5 - Durchschnittl.
Mietpreis 
pro m2";"F5 - Vertrauens-intervall: 
± (in CHF)";"F6+ - Durchschnittl.
Mietpreis 
pro m2";"F6+ - Vertrauens-intervall: 
± (in CHF)"
2020;Schweiz;16,5 ;0,0 ;20,4 ;0,3 ;18,2 ;0,1 ;16,6 ;0,1 ;15,6 ;0,1 ;15,6 ;0,1 ;16,5 ;0,3 
2020;Zürich;19,3 ;0,1 ;25,5 ;0,9 ;21,6 ;0,3 ;19,2 ;0,2 ;18,0 ;0,1 ;17,8 ;0,3 ;19,8 ;1,0 
2020;Bern;15,1 ;0,1 ;17,7 ;0,9 ;16,3 ;0,3 ;15,2 ;0,2 ;14,4 ;0,1 ;14,4 ;0,3 ;14,8 ;1,3 
2020;Luzern;15,4 ;0,1 ;19,5 ;1,2 ;17,4 ;0,4 ;15,9 ;0,2 ;14,6 ;0,1 ;14,2 ;0,3 ;14,4 ;0,8 
2020;Uri;13,0 ;0,5 ;(13,9) ;(6,9) ;(13,2) ;(2,3) ;13,8 ;0,9 ;12,5 ;0,5 ;(12,1) ;(1,3) ;(14,1) ;(1,8) 
2020;Schwyz;16,7 ;0,3 ;(21,6) ;(2,4) ;19,1 ;1,0 ;16,7 ;0,6 ;16,0 ;0,4 ;16,6 ;0,8 ;(16,0) ;(2,3) 
2020;Obwalden;14,5 ;0,6 ;(25,5) ;(4,3) ;(17,7) ;(1,9) ;14,5 ;1,0 ;13,4 ;0,8 ;(13,7) ;(1,3) ;(11,8) ;(2,9) 
2020;Nidwalden;16,1 ;0,5 ;(17,3) ;(4,8) ;19,1 ;1,8 ;16,8 ;0,8 ;15,0 ;0,6 ;15,6 ;0,9 ;(14,5) ;(3,5) 
2020;Glarus;13,3 ;0,6 ;(13,2) ;(3,9) ;(14,5) ;(1,6) ;14,0 ;0,9 ;13,1 ;0,9 ;(11,6) ;(1,3) ;(12,3) ;(2,5) 
2020;Zug;19,4 ;0,2 ;20,4 ;2,4 ;22,3 ;0,9 ;19,3 ;0,4 ;18,7 ;0,3 ;19,4 ;0,5 ;18,3 ;1,5 
2020;Freiburg;14,7 ;0,2 ;19,4 ;1,6 ;16,9 ;0,5 ;14,8 ;0,3 ;13,6 ;0,3 ;13,7 ;0,5 ;13,3 ;1,3 
2020;Solothurn;14,0 ;0,2 ;16,5 ;2,3 ;15,1 ;0,6 ;14,0 ;0,3 ;13,6 ;0,3 ;13,2 ;0,6 ;(14,1) ;(1,8) 
2020;Basel-Stadt;18,2 ;0,2 ;21,4 ;1,2 ;19,3 ;0,5 ;17,7 ;0,3 ;17,6 ;0,4 ;18,1 ;1,0 ;18,7 ;1,6 
2020;Basel-Landschaft;17,0 ;0,2 ;18,3 ;1,6 ;18,2 ;0,6 ;17,2 ;0,3 ;16,1 ;0,3 ;16,5 ;0,8 ;17,9 ;2,1 
2020;Schaffhausen;13,7 ;0,3 ;(14,9) ;(2,4) ;15,5 ;1,3 ;13,7 ;0,5 ;13,2 ;0,5 ;13,1 ;0,8 ;(14,8) ;(2,2) 
2020;Appenzell A.Rh.;13,1 ;0,5 ;(12,7) ;(2,5) ;13,1 ;1,6 ;13,9 ;0,9 ;13,4 ;0,7 ;11,5 ;1,2 ;(12,8) ;(2,1) 
2020;Appenzell I.Rh.;14,6 ;0,9 ;X   ;*   ;(15,9) ;(2,9) ;(14,0) ;(1,5) ;(15,5) ;(1,7) ;(13,8) ;(1,3) ;(9,9) ;(1,2) 
2020;St.Gallen;14,2 ;0,1 ;17,3 ;1,6 ;15,8 ;0,5 ;14,7 ;0,3 ;13,7 ;0,2 ;13,0 ;0,4 ;12,4 ;0,7 
2020;Graubünden;15,2 ;0,3 ;18,9 ;2,2 ;17,0 ;1,0 ;15,4 ;0,5 ;14,6 ;0,4 ;13,0 ;0,8 ;(12,3) ;(1,5) 
2020;Aargau;15,4 ;0,1 ;17,7 ;0,9 ;17,1 ;0,3 ;15,7 ;0,1 ;14,6 ;0,1 ;14,1 ;0,3 ;14,4 ;0,6 
2020;Thurgau;13,8 ;0,1 ;15,8 ;1,6 ;15,2 ;0,4 ;14,2 ;0,2 ;13,4 ;0,2 ;13,0 ;0,4 ;12,9 ;0,7 
2020;Tessin;14,0 ;0,1 ;13,1 ;0,8 ;13,9 ;0,3 ;14,1 ;0,2 ;13,8 ;0,2 ;14,5 ;0,6 ;15,7 ;1,3 
2020;Waadt;18,0 ;0,1 ;23,7 ;0,7 ;19,7 ;0,2 ;17,7 ;0,1 ;16,9 ;0,2 ;16,5 ;0,3 ;18,3 ;0,9 
2020;Wallis;14,1 ;0,1 ;17,1 ;1,0 ;15,5 ;0,4 ;14,2 ;0,2 ;13,2 ;0,2 ;12,4 ;0,4 ;12,9 ;1,6 
2020;Neuenburg;12,8 ;0,2 ;12,8 ;1,3 ;13,1 ;0,5 ;12,6 ;0,2 ;12,8 ;0,2 ;12,8 ;0,5 ;14,3 ;1,4 
2020;Genf;19,7 ;0,2 ;21,8 ;1,0 ;21,0 ;0,4 ;19,7 ;0,3 ;18,7 ;0,3 ;19,0 ;0,3 ;21,3 ;1,1 
2020;Jura;11,6 ;0,4 ;(13,1) ;(2,5) ;12,5 ;1,6 ;11,0 ;0,7 ;11,8 ;0,6 ;12,2 ;1,0 ;(8,7) ;(1,5) 
2019;Schweiz;16,4 ;0,0 ;19,3 ;0,3 ;18,0 ;0,1 ;16,5 ;0,1 ;15,6 ;0,1 ;15,4 ;0,1 ;16,1 ;0,3 
2019;Zürich;19,2 ;0,1 ;23,2 ;0,9 ;21,5 ;0,3 ;19,3 ;0,2 ;18,1 ;0,2 ;17,8 ;0,3 ;19,1 ;0,9 
2019;Bern;15,0 ;0,1 ;16,5 ;1,0 ;16,2 ;0,3 ;15,1 ;0,2 ;14,5 ;0,1 ;13,8 ;0,3 ;14,4 ;1,0 
2019;Luzern;15,5 ;0,1 ;21,1 ;1,3 ;17,4 ;0,4 ;15,9 ;0,2 ;14,7 ;0,1 ;14,4 ;0,3 ;14,2 ;0,8 
2019;Uri;13,1 ;0,6 ;X   ;*   ;(13,8) ;(1,8) ;13,7 ;0,9 ;13,1 ;0,6 ;(11,8) ;(2,5) ;(11,4) ;(2,1) 
2019;Schwyz;16,6 ;0,3 ;(14,4) ;(2,8) ;17,9 ;1,2 ;17,0 ;0,6 ;16,4 ;0,4 ;15,9 ;0,8 ;(17,0) ;(1,8) 
2019;Obwalden;14,2 ;0,5 ;(13,5) ;(5,1) ;(14,8) ;(2,6) ;14,3 ;1,0 ;13,9 ;0,7 ;14,2 ;1,3 ;(14,4) ;(2,1) 
2019;Nidwalden;15,7 ;0,5 ;(16,7) ;(4,5) ;17,4 ;2,0 ;16,5 ;0,8 ;15,0 ;0,6 ;14,8 ;1,0 ;(14,7) ;(2,0) 
2019;Glarus;12,7 ;0,5 ;(8,8) ;(4,4) ;(14,6) ;(1,9) ;13,0 ;0,8 ;12,7 ;0,6 ;(12,2) ;(1,3) ;(11,2) ;(1,7) 
2019;Zug;19,5 ;0,2 ;22,3 ;3,1 ;21,5 ;0,9 ;20,1 ;0,4 ;18,7 ;0,3 ;18,4 ;0,6 ;19,1 ;1,6 
2019;Freiburg;14,6 ;0,2 ;17,2 ;1,5 ;16,9 ;0,6 ;14,5 ;0,3 ;14,0 ;0,3 ;13,7 ;0,6 ;12,0 ;1,0 
